Mühərrikin həcmi,At gücü,Yanacaq növü,Marka,Model,Buraxılış ili,Ban növü,Rəng,Yürüş
2.4,170,Benzin,Mercedes,C 240,1998,Sedan,Qara,265002
1.5,109,Dizel,Kia,Rio,2008,Hetçbek,Yaş Asfalt,255000
1.8,204,Benzin,Mercedes,C 250,2013,Sedan,Boz,117000
2.0,140,Benzin,Hyundai,Tucson,2006,Offroader / SUV,Qara,270000
1.6,75,Benzin,LADA (VAZ),2107,2007,Sedan,Ağ,45217
3.0,333,Benzin,Mercedes,S 400,2016,Sedan,Göy,98000
3.0,367,Benzin,Mercedes,GLS 450,2022,Offroader / SUV,Qara,0
2.0,245,Benzin,BMW,528,2015,Sedan,Göy,85000
2.0,115,Benzin,Volkswagen,Jetta,2014,Sedan,Yaş Asfalt,190000
1.4,90,Dizel,Toyota,Corolla,2006,Universal,Ağ,325000
3.0,258,Dizel,Land Rover,Discovery,2015,Offroader / SUV,Yaşıl,213000
3.0,248,Dizel,Land Rover,Range Rover,2015,Offroader / SUV,Qara,125000
1.4,141,Benzin,Chevrolet,Cruze,2015,Sedan,Qəhvəyi,129000
1.4,140,Benzin,Chevrolet,Cruze,2011,Sedan,Qara,253000
2.0,245,Benzin,Hyundai,Sonata,2015,Sedan,Qara,112000
2.4,170,Benzin,Mercedes,E 240,1998,Sedan,Boz,362000
1.5,105,Dizel,Renault,Megane,2009,Universal,Qızılı,183000
2.0,245,Benzin,Mercedes,E 300,2020,Sedan,Qara,25000
2.2,140,Dizel,Ford,Transit,2013,Mikroavtobus,Ağ,257000
1.4,90,Benzin,Opel,Vita,1997,Hetçbek,Qırmızı,240995
2.5,218,Benzin,BMW,525,2008,Sedan,Qara,252000
2.2,170,Dizel,Mercedes,E 220,2009,Sedan,Yaş Asfalt,280000
1.4,109,Benzin,Kia,Ceed,2007,Hetçbek,Göy,172000
3.5,243,Benzin,Nissan,Pathfinder,2003,Offroader / SUV,Qara,283000
2.4,174,Benzin,Jeep,Patriot,2008,Offroader / SUV,Gümüşü,201000
2.0,184,Dizel,Kia,Sorento,2010,Offroader / SUV,Yaş Asfalt,187174
1.7,80,Benzin,LADA (VAZ),Niva,2014,Offroader / SUV,Ağ,160000
1.4,180,Benzin,Abarth,595,2012,Hetçbek,Qara,167000
1.4,95,Benzin,Fiat,Doblo,2016,Furqon,Ağ,63500
3.3,300,Benzin,Kia,Sorento,2015,Offroader / SUV,Yaş Asfalt,136500
1.5,86,Dizel,Dacia,Logan,2010,Universal,Qara,196000
1.2,200,Benzin,Ducati,1199 Panigale S,2013,Motosiklet,Qırmızı,14000
2.2,206,Dizel,Hyundai,Grandeur,2018,Sedan,Qara,190000
2.0,184,Dizel,Kia,Sorento,2012,Offroader / SUV,Gümüşü,195000
1.6,106,Benzin,LADA (VAZ),Priora,2014,Liftbek,Ağ,175250
2.3,309,Benzin,Ford,Mustang,2015,Kupe,Qara,178000
3.3,249,Benzin,Hyundai,Santa Fe,2014,Offroader / SUV,Gümüşü,200000
2.4,160,Dizel,Ford,Transit,2006,Yük maşını,Boz,422800
1.6,115,Dizel,Kia,Ceed,2007,Universal,Qəhvəyi,185283
4.0,282,Benzin,Toyota,Land Cruiser,2011,Offroader / SUV,Ağ,160000
2.2,170,Dizel,Mercedes,E 220,2008,Sedan,Gümüşü,290000
1.4,140,Benzin,Chevrolet,Cruze,2011,Sedan,Bej,230000
3.0,367,Benzin,Mercedes,GLS 450,2022,Offroader / SUV,Qara,0
2.5,140,Dizel,Kia,Sorento,2003,Offroader / SUV,Gümüşü,200000
1.6,181,Benzin,Ford,Fusion,2016,Sedan,Gümüşü,119000
1.6,75,Benzin,LADA (VAZ),2107,2005,Sedan,Göy,26000
1.5,109,Benzin,Nissan,Tiida,2012,Hetçbek,Qırmızı,38500
1.3,90,Dizel,Opel,Astra,2008,Hetçbek,Ağ,213650
1.5,65,Benzin,LADA (VAZ),2106,1977,Sedan,Yaşıl,653885
2.5,231,Benzin,Mazda,CX-9,2019,Offroader / SUV,Qəhvəyi,99400
1.2,58,Benzin,LADA (VAZ),2101,1983,Sedan,Yaşıl,10000
2.2,140,Dizel,Ford,Transit,2012,Furqon,Qara,177000
2.0,245,Benzin,BMW,328,2012,Sedan,Qara,218000
2.0,184,Dizel,Hyundai,Santa Fe,2014,Offroader / SUV,Ağ,75500
1.6,116,Dizel,Hyundai,i30,2008,Universal,Yaş Asfalt,184000
1.3,88,Hibrid,Honda,Insight,2009,Liftbek,Qara,389000
3.6,286,Benzin,Jeep,Grand Cherokee,2014,Offroader / SUV,Tünd qırmızı,143090
1.6,116,Dizel,Hyundai,i30,2011,Universal,Ağ,253000
1.6,115,Benzin,Hyundai,i30,2009,Hetçbek,Ağ,218100
1.6,106,Benzin,LADA (VAZ),Priora,2015,Sedan,Ağ,86300
2.1,100,Benzin,UAZ,31512,1987,Offroader / SUV,Yaşıl,300000
1.5,110,Dizel,Kia,Rio,2007,Hetçbek,Tünd qırmızı,240000
3.0,272,Benzin,BMW,530,2008,Sedan,Ağ,251525
2.4,174,Benzin,Hyundai,Sonata,2009,Sedan,Qara,176105
2.2,125,Dizel,Mercedes,E 220,1999,Sedan,Yaş Asfalt,220336
3.6,280,Benzin,Volkswagen,Touareg,2012,Offroader / SUV,Ağ,205000
4.3,170,Dizel,Isuzu,NPR 66 L,2006,Yük maşını,Ağ,155400
3.2,224,Benzin,Mercedes,E 320,1998,Sedan,Gümüşü,408000
5.6,325,Benzin,Infiniti,QX56,2010,Offroader / SUV,Qara,202000
2.0,190,Dizel,Audi,A6,2018,Sedan,Boz,96000
1.5,109,Benzin,Nissan,Tiida,2012,Hetçbek,Qızılı,39000
3.0,340,Benzin,BMW,X7,2021,Offroader / SUV,Qara,26000
2.7,163,Benzin,Toyota,Prado,2013,Offroader / SUV,Ağ,126979
1.8,122,Benzin,Mercedes,190,1990,Sedan,Boz,155000
1.4,150,Benzin,Volkswagen,Jetta,2015,Sedan,Qara,207605
2.3,150,Benzin,Mercedes,E 230,1990,Sedan,Qara,321000
2.2,170,Dizel,Mercedes,E 220,2005,Sedan,Gümüşü,261000
1.3,90,Dizel,Opel,Astra,2008,Universal,Gümüşü,214000
2.0,184,Dizel,Kia,Sorento,2015,Offroader / SUV,Ağ,147500
0.0,25,Benzin,Bajaj,Avenger 220,2019,Motosiklet,Qara,82000
0.0,8,Benzin,Jianshe,JS125-7F,2022,Motosiklet,Qara,15000
2.0,248,Benzin,Nissan,Altima,2020,Sedan,Qara,68000
1.6,124,Benzin,Toyota,Corolla,2023,Sedan,Ağ,3000
3.0,188,Benzin,Mitsubishi,Pajero,2007,Offroader / SUV,Qara,198000
2.0,218,Plug-in hibrid,BMW,X5,2016,Offroader / SUV,Yaş Asfalt,162706
3.2,224,Benzin,Mercedes,E 320,2000,Sedan,Bənövşəyi,226177
2.0,136,Benzin,Opel,Vectra,1997,Sedan,Yaşıl,315000
1.4,140,Benzin,Chevrolet,Cruze,2010,Sedan,Göy,264000
1.8,122,Benzin,Mercedes,C 180,1996,Sedan,Qara,312000
2.0,184,Dizel,Hyundai,Santa Fe,2013,Offroader / SUV,Mavi,106629
1.7,113,Benzin,Khazar,SD,2021,Sedan,Ağ,135000
1.2,98,Benzin,Nissan,Note,2012,Hetçbek,Yaş Asfalt,52400
1.4,97,Benzin,Hyundai,Accent,2010,Sedan,Gümüşü,154000
3.0,304,Benzin,Volvo,XC60,2014,Offroader / SUV,Qəhvəyi,232119
1.4,90,Dizel,Toyota,Auris,2011,Hetçbek,Gümüşü,322000
1.6,124,Benzin,Toyota,Corolla,2013,Sedan,Ağ,124200
2.0,184,Dizel,Kia,Sorento,2012,Offroader / SUV,Qara,217000
1.8,122,Benzin,Mercedes,C 180,1994,Sedan,Gümüşü,938333
2.0,175,Benzin,Toyota,RAV4,2020,Offroader / SUV,Yaş Asfalt,10000
2.4,180,Benzin,Hyundai,Grandeur,2013,Sedan,Ağ,167100
2.3,193,Benzin,Mercedes,C 230,2000,Sedan,Qızılı,254000
2.0,184,Dizel,Kia,Sorento,2011,Offroader / SUV,Gümüşü,208000
2.3,150,Benzin,Mercedes,E 230,1996,Sedan,Qızılı,468800
3.2,170,Dizel,Mitsubishi,Pajero,2008,Offroader / SUV,Ağ,218000
3.0,340,Benzin,BMW,X5,2018,Offroader / SUV,Ağ,57000
1.6,75,Benzin,LADA (VAZ),2107,2006,Sedan,Tünd qırmızı,36000
0.0,204,Elektro,Skywell,ET5,2022,Offroader / SUV,Ağ,0
1.5,112,Dizel,Kia,Rio,2010,Sedan,Gümüşü,179000
2.0,184,Dizel,Kia,Sorento,2010,Offroader / SUV,Ağ,96000
3.0,510,Benzin,BMW,X3 M,2023,Offroader / SUV,Göy,0
5.7,367,Benzin,Lexus,LX 570,2016,Offroader / SUV,Qara,113929
1.8,140,Hibrid,Toyota,Corolla,2022,Sedan,Ağ,0
1.4,90,Benzin,Opel,Vita,1999,Hetçbek,Qırmızı,238000
2.0,150,Benzin,Lexus,NX 200,2023,Offroader / SUV,Qara,0
1.6,106,Benzin,Hyundai,Matrix,2010,Hetçbek,Ağ,163000
2.0,136,Benzin,Mercedes,C 200,1994,Sedan,Qara,520000
1.3,65,Benzin,LADA (VAZ),2106,1995,Sedan,Yaşıl,90000
2.0,156,Benzin,Kia,Cerato,2013,Sedan,Ağ,149000
3.0,306,Dizel,Land Rover,RR Sport,2019,Offroader / SUV,Ağ,183000
2.2,170,Dizel,Mercedes,C 220,2008,Universal,Qara,207482
1.4,90,Dizel,Toyota,Corolla,2005,Hetçbek,Boz,184400
1.4,90,Dizel,Toyota,Corolla,2007,Hetçbek,Yaş Asfalt,184000
1.5,65,Benzin,LADA (VAZ),2106,1981,Sedan,Qırmızı,30000
1.8,129,Benzin,Mercedes,C 180,1996,Sedan,Qara,279000
1.6,180,Benzin,Kia,K5,2020,Sedan,Qara,71500
1.7,116,Benzin,Mercedes,B 170,2008,Hetçbek,Ağ,87600
3.0,230,Benzin,BMW,528,2007,Sedan,Ağ,299000
6.0,625,Benzin,Bentley,Flying Spur,2015,Sedan,Göy,52278
2.4,170,Benzin,Mercedes,C 240,1998,Sedan,Gümüşü,297000
1.4,90,Dizel,Toyota,Corolla,2006,Universal,Boz,201000
2.3,150,Benzin,Mercedes,E 230,1997,Sedan,Boz,280000
2.0,184,Dizel,Kia,Sorento,2010,Offroader / SUV,Gümüşü,181000
2.2,143,Dizel,Mercedes,C 220,1995,Sedan,Yaş Asfalt,629109
2.5,249,Hibrid,Toyota,Highlander,2022,Offroader / SUV,Göy,0
4.2,396,Benzin,Land Rover,Range Rover,2007,Offroader / SUV,Qara,279000
1.4,109,Benzin,Hyundai,i30,2011,Hetçbek,Qara,172000
2.0,184,Dizel,Kia,Sorento,2009,Offroader / SUV,Yaş Asfalt,229000
1.4,90,Benzin,Opel,Astra,2009,Hetçbek,Qara,144000
1.5,110,Dizel,Kia,Rio,2007,Hetçbek,Gümüşü,198000
2.5,126,Dizel,Mercedes,E 250,1989,Sedan,Qızılı,100000
1.6,122,Benzin,Hyundai,i30,2008,Universal,Boz,228000
1.6,100,Benzin,Opel,Vectra,1999,Universal,Ağ,383000
2.0,274,Benzin,Kia,Optima,2012,Sedan,Göy,175418
2.4,178,Benzin,Hyundai,Sonata,2012,Sedan,Ağ,205799
1.6,140,Benzin,Hyundai,Accent,2019,Sedan,Yaş Asfalt,168500
2.7,325,Benzin,Ford,F-150,2017,Pikap,Qara,108000
2.0,245,Benzin,BMW,528,2013,Sedan,Yaş Asfalt,98000
2.2,143,Dizel,Mercedes,C 220,2001,Sedan,Qara,250000
2.0,245,Benzin,BMW,528,2015,Sedan,Yaş Asfalt,152888
1.8,163,Benzin,Mercedes,E 200,2004,Sedan,Göy,235000
3.5,202,Benzin,Mitsubishi,Pajero,2010,Offroader / SUV,Ağ,143528
2.0,155,Benzin,Ssang Yong,Korando,2015,Offroader / SUV,Bej,161456
1.8,140,Hibrid,Toyota,Corolla,2020,Sedan,Ağ,152000
1.8,150,Benzin,Volkswagen,Passat,2004,Sedan,Gümüşü,336430
1.8,150,Benzin,Hyundai,Elantra,2013,Sedan,Yaş Asfalt,155900
1.3,89,Benzin,Lifan,520,2008,Sedan,Qara,213000
0.0,544,Elektro,Zeekr,001,2022,Hetçbek,Bənövşəyi,0
2.0,274,Benzin,Kia,Optima,2016,Sedan,Ağ,89000
5.5,544,Benzin,Mercedes,G 63 AMG,2014,Offroader / SUV,Boz,64000
1.6,124,Benzin,Kia,Cerato,2012,Sedan,Ağ,131000
2.2,202,Dizel,Hyundai,Grandeur,2014,Sedan,Ağ,190000
4.3,104,Dizel,SamAuto,HC40,2023,Avtobus,Ağ,0
2.4,175,Benzin,Kia,Sorento,2013,Offroader / SUV,Qara,124000
1.5,150,Benzin,Geely,Coolray,2022,Offroader / SUV,Ağ,6300
1.5,65,Benzin,LADA (VAZ),2106,1998,Sedan,Yaşıl,18000
1.3,75,Benzin,Saipa,132,2013,Sedan,Ağ,400000
2.5,85,Dizel,Ford,Transit,1992,Furqon,Ağ,250000
4.0,282,Benzin,Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,113000
2.0,240,Benzin,Land Rover,Discovery Sport,2017,Offroader / SUV,Qara,36005
1.6,75,Benzin,LADA (VAZ),2107,2009,Sedan,Göy,29611
3.0,173,Dizel,Toyota,Prado,2008,Offroader / SUV,Qara,500000
1.4,90,Dizel,Toyota,Corolla,2005,Universal,Qara,185000
3.0,201,Benzin,Lexus,RX 300,2000,Offroader / SUV,Yaşıl,220000
1.5,181,Benzin,Ford,Escape,2022,Offroader / SUV,Qara,8200
1.6,80,Benzin,LADA (VAZ),2112,2005,Hetçbek,Gümüşü,114700
1.6,130,Benzin,Kia,Cerato,2013,Sedan,Yaş Asfalt,228000
0.0,204,Elektro,Volkswagen,ID.6,2022,Offroader / SUV,Boz,0
1.5,76,Hibrid,Toyota,Prius,2008,Liftbek,Qara,198000
1.7,80,Benzin,LADA (VAZ),Niva,2022,Offroader / SUV,Yaş Asfalt,14900
1.2,98,Benzin,Nissan,Note,2014,Hetçbek,Göy,45218
4.0,282,Benzin,Toyota,Land Cruiser,2012,Offroader / SUV,Ağ,126000
1.5,78,Benzin,LADA (VAZ),2115,2008,Sedan,Qara,140000
1.7,80,Benzin,LADA (VAZ),Niva,2015,Offroader / SUV,Ağ,86500
2.5,249,Hibrid,Toyota,Highlander,2022,Offroader / SUV,Boz,0
4.4,450,Benzin,BMW,750,2016,Sedan,Qara,127000
2.0,186,Dizel,Kia,Sorento,2017,Offroader / SUV,Yaş Asfalt,68500
2.0,245,Benzin,Hyundai,Sonata,2018,Sedan,Gümüşü,57000
3.0,435,Benzin,Mercedes,E 53 4MATIC+,2021,Sedan,Yaş Asfalt,27500
1.5,177,Benzin,Geely,Coolray,2023,Offroader / SUV,Qızılı,0
1.3,90,Dizel,Opel,Astra,2005,Hetçbek,Yaş Asfalt,240000
5.7,383,Benzin,Lexus,LX 570,2013,Offroader / SUV,Qara,157500
2.2,125,Benzin,Opel,Zafira,2001,Minivan,Gümüşü,246797
3.0,188,Benzin,Mitsubishi,Pajero,2008,Offroader / SUV,Ağ,217900
2.0,147,Benzin,FAW,Besturn X80,2020,Offroader / SUV,Qara,95000
2.0,190,Dizel,BMW,520,2018,Sedan,Qara,114000
2.0,184,Dizel,Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,180000
2.4,175,Benzin,Kia,Sorento,2012,Offroader / SUV,Yaşıl,159000
2.4,131,Benzin,GAZ,3102,1990,Sedan,Qara,100000
3.2,224,Benzin,Mercedes,E 320,1997,Sedan,Gümüşü,244000
1.5,65,Benzin,LADA (VAZ),2107,1993,Sedan,Ağ,22330
1.8,149,Benzin,Kia,Cerato,2015,Sedan,Yaş Asfalt,105000
1.5,76,Hibrid,Toyota,Prius,2008,Liftbek,Boz,115000
2.6,177,Benzin,Mercedes,E 240,2003,Sedan,Gümüşü,323400
2.0,184,Dizel,Kia,Sorento,2010,Offroader / SUV,Gümüşü,182000
1.8,160,Benzin,Skoda,Superb,2011,Liftbek,Ağ,214000
1.3,88,Hibrid,Honda,Insight,2010,Liftbek,Boz,365293
3.5,272,Benzin,Mercedes,E 350,2010,Sedan,Qara,270000
4.7,455,Benzin,Mercedes,GLS 500,2016,Offroader / SUV,Qara,150000
3.0,306,Benzin,BMW,X5,2010,Offroader / SUV,Qara,146458
6.0,625,Benzin,Bentley,Continental GT,2013,Kupe,Boz,38490
1.4,90,Benzin,Opel,Astra,2006,Universal,Qara,188532
1.6,100,Benzin,Ford,Focus,2006,Sedan,Ağ,256000
2.2,150,Dizel,Mercedes,E 220,2006,Sedan,Qara,275000
5.6,405,Benzin,Nissan,Patrol,2010,Offroader / SUV,Qara,185000
2.2,143,Dizel,Mercedes,E 220,2000,Sedan,Qara,415227
1.6,98,Benzin,LADA (VAZ),Priora,2008,Hetçbek,Qara,350000
1.6,106,Benzin,LADA (VAZ),Priora,2015,Hetçbek,Qara,220000
2.4,180,Benzin,Kia,Optima,2012,Sedan,Ağ,223000
2.0,245,Benzin,BMW,528,2013,Sedan,Göy,123000
1.6,116,Dizel,Hyundai,i30,2011,Universal,Yaş Asfalt,160000
2.0,150,Benzin,Hyundai,Elantra,2016,Sedan,Ağ,70550
2.0,265,Benzin,Hyundai,Santa Fe,2014,Offroader / SUV,Yaş Asfalt,52710
2.0,240,Benzin,Kia,Sportage,2017,Offroader / SUV,Ağ,121000
1.4,90,Benzin,Opel,Astra,2005,Universal,Göy,228000
4.3,131,Benzin,GAZ,3307,1992,Yük maşını,Mavi,280000
4.4,407,Benzin,BMW,750,2010,Sedan,Qara,221000
2.5,115,Dizel,Jeep,Grand Cherokee,1997,Offroader / SUV,Qara,410500
2.2,197,Dizel,Kia,Sorento,2016,Offroader / SUV,Ağ,148600
1.8,150,Benzin,Hyundai,Elantra,2013,Sedan,Boz,112144
1.5,106,Benzin,Chevrolet,Cobalt,2022,Sedan,Qara,0
6.4,280,Dizel,Mercedes,Axor 1829,2012,Yük maşını,Gümüşü,451000
1.6,98,Benzin,LADA (VAZ),Priora,2008,Hetçbek,Qara,238000
2.0,252,Benzin,Audi,A6,2022,Sedan,Boz,2400
2.0,184,Dizel,Kia,Sorento,2012,Offroader / SUV,Gümüşü,201500
2.5,170,Benzin,BMW,523,1996,Sedan,Qırmızı,410000
1.5,105,Dizel,Renault,Megane,2006,Universal,Gümüşü,370000
2.0,184,Dizel,Hyundai,Santa Fe,2010,Offroader / SUV,Ağ,190000
1.8,109,Benzin,Mercedes,190,1993,Sedan,Qara,321500
4.0,282,Benzin,Toyota,Land Cruiser,2013,Offroader / SUV,Qara,164000
0.0,204,Elektro,Volkswagen,ID.6,2023,Offroader / SUV,Ağ,0
4.3,170,Dizel,Mercedes,Atego 1517,2007,Yük maşını,Göy,730000
1.4,90,Benzin,Hyundai,i30,2010,Universal,Qara,192500
2.0,274,Benzin,Hyundai,Sonata,2014,Sedan,Qara,102300
2.4,174,Benzin,Jeep,Patriot,2008,Offroader / SUV,Gümüşü,154000
2.0,143,Benzin,BMW,318,2003,Sedan,Mavi,281000
1.3,75,Benzin,Saipa,132,2013,Sedan,Ağ,365123
1.6,123,Benzin,Kia,Rio,2021,Sedan,Yaş Asfalt,23000
2.2,150,Dizel,Mercedes,Vito 115,2008,Van,Qəhvəyi,220000
2.4,178,Benzin,Hyundai,Sonata,2011,Sedan,Ağ,178000
2.0,184,Dizel,Kia,Sorento,2012,Offroader / SUV,Ağ,152000
1.7,113,Benzin,Khazar,SD,2019,Sedan,Ağ,183605
2.0,150,Benzin,BMW,320,1991,Sedan,Boz,285200
5.5,382,Benzin,Mercedes,GL 550,2007,Offroader / SUV,Qara,123000
1.7,83,Benzin,LADA (VAZ),Niva,2023,Offroader / SUV,Yaşıl,0
3.8,274,Benzin,Kia,Mohave,2008,Offroader / SUV,Narıncı,193000
2.2,109,Dizel,Mercedes,Vito 111,2008,Furqon,Ağ,185000
3.5,301,Benzin,Lexus,RX 350,2021,Offroader / SUV,Göy,10000
2.4,140,Dizel,Ford,Transit,2008,Yük maşını,Ağ,199000
1.7,83,Benzin,LADA (VAZ),Niva,2023,Offroader / SUV,Yaşıl,0
2.4,170,Benzin,Mercedes,E 240,2000,Sedan,Bej,309021
3.2,224,Benzin,Mercedes,E 320,2003,Sedan,Gümüşü,400000
1.6,75,Benzin,Opel,Vectra,1997,Sedan,Göy,319000
2.0,150,Benzin,BMW,520,1997,Sedan,Göy,445000
2.0,245,Benzin,BMW,328,2016,Sedan,Göy,115500
2.5,206,Benzin,Toyota,Camry,2021,Sedan,Göy,11000
1.6,132,Benzin,Hyundai,Elantra,2017,Sedan,Ağ,104500
2.5,169,Benzin,Nissan,X-Trail,2011,Offroader / SUV,Ağ,155000
2.5,181,Benzin,Toyota,Camry,2014,Sedan,Ağ,158214
4.7,275,Benzin,Lexus,LX 470,2006,Offroader / SUV,Qara,228000
2.0,184,Dizel,Kia,Sorento,2009,Offroader / SUV,Qara,124000
0.0,408,Elektro,Mercedes,EQC 400 4MATIC,2021,Offroader / SUV,Qara,18500
3.0,306,Benzin,BMW,X5,2020,Offroader / SUV,Qara,29500
1.5,65,Benzin,LADA (VAZ),2107,1986,Sedan,Ağ,111111
2.2,200,Dizel,Hyundai,Santa Fe,2015,Offroader / SUV,Ağ,180000
3.3,370,Dizel,Lexus,LX 500d,2023,Offroader / SUV,Qara,0
1.5,76,Hibrid,Toyota,Prius,2008,Liftbek,Mavi,298600
2.0,184,Dizel,Hyundai,Santa Fe,2010,Offroader / SUV,Gümüşü,161000
3.6,286,Benzin,Jeep,Grand Cherokee,2012,Offroader / SUV,Qara,260000
2.0,184,Dizel,Kia,Sorento,2014,Offroader / SUV,Yaş Asfalt,137000
2.7,163,Benzin,Toyota,Prado,2020,Offroader / SUV,Qara,74000
2.0,136,Benzin,Opel,Vectra,1999,Sedan,Gümüşü,100000
1.3,98,Hibrid,Honda,Insight,2012,Liftbek,Göy,207619
1.8,192,Benzin,Mercedes,C 230,2003,Sedan,Qara,189000
1.4,90,Benzin,Opel,Astra,2006,Hetçbek,Boz,134000
2.4,100,Benzin,GAZ,3110,2000,Pikap,Ağ,125563
1.7,80,Benzin,LADA (VAZ),Niva,2020,Offroader / SUV,Göy,54000
1.5,86,Benzin,Chevrolet,Aveo,2010,Sedan,Ağ,180000
3.0,340,Benzin,BMW,X5,2020,Offroader / SUV,Göy,55000
1.4,90,Dizel,Toyota,Corolla,2005,Universal,Mavi,188000
4.0,489,Benzin,Mercedes,GLS 580,2022,Offroader / SUV,Qara,0
1.6,75,Benzin,LADA (VAZ),2107,2011,Sedan,Qara,160000
2.4,100,Benzin,GAZ,M-21,1970,Sedan,Ağ,80000
2.0,136,Benzin,Mercedes,C 200,1996,Sedan,Ağ,300000
1.5,109,Benzin,Nissan,Tiida,2012,Hetçbek,Qəhvəyi,33000
3.0,204,Benzin,Audi,A7,2013,Sedan,Qara,60000
1.6,106,Benzin,LADA (VAZ),Priora,2014,Sedan,Ağ,162000
1.4,90,Benzin,Opel,Astra,2010,Hetçbek,Ağ,188000
2.0,126,Benzin,Mitsubishi,Airtrek,2002,Offroader / SUV,Ağ,238749
4.0,249,Benzin,Toyota,Prado,2004,Offroader / SUV,Gümüşü,299000
2.0,184,Dizel,Kia,Sorento,2011,Offroader / SUV,Yaş Asfalt,178000
7.5,250,Dizel,Ford,Cargo,2008,Yük maşını,Ağ,250000
1.7,80,Benzin,LADA (VAZ),Niva,2015,Offroader / SUV,Göy,120000
1.4,141,Benzin,Chevrolet,Cruze,2014,Sedan,Göy,208885
2.0,141,Benzin,Nissan,Qashqai,2012,Offroader / SUV,Qara,103000
2.2,109,Dizel,Mercedes,Vito,2008,Van,Ağ,247500
2.5,181,Benzin,Toyota,Camry,2013,Sedan,Ağ,96739
2.7,163,Benzin,Toyota,Prado,2011,Offroader / SUV,Ağ,186800
3.0,340,Benzin,Land Rover,RR Sport,2015,Offroader / SUV,Qara,146450
2.0,150,Benzin,Nissan,X-Trail,2003,Offroader / SUV,Boz,203388
1.8,122,Benzin,Mercedes,C 180,1998,Universal,Göy,870000
1.6,75,Benzin,LADA (VAZ),2106,2004,Sedan,Qırmızı,40000
4.4,544,Benzin,BMW,760,2022,Sedan,Göy,0
1.4,140,Benzin,Chevrolet,Cruze,2020,Sedan,Gümüşü,90000
2.0,254,Hibrid,Volvo,XC60,2023,Offroader / SUV,Ağ,0
2.4,174,Benzin,Hyundai,Sonata,2008,Sedan,Boz,218934
12.0,460,Dizel,Mercedes,Actros 1846,2006,Dartqı,Göy,5796867
2.4,140,Dizel,Ford,Transit,2006,Yük maşını,Ağ,183000
2.1,52,Benzin,GAZ,M-20 Pobeda,1957,Liftbek,Göy,15000
2.7,167,Benzin,Toyota,Prado,2007,Offroader / SUV,Qara,211524
3.0,231,Benzin,BMW,530,2001,Sedan,Qara,268000
2.4,180,Benzin,Kia,Optima,2011,Sedan,Ağ,188000
2.0,151,Benzin,Toyota,RAV4,2013,Offroader / SUV,Qara,142000
2.7,189,Benzin,Hyundai,Santa Fe,2008,Offroader / SUV,Ağ,130140
3.0,380,Benzin,BMW,740,2023,Universal,Qara,0
4.4,333,Benzin,BMW,745,2002,Sedan,Qara,280000
1.4,90,Benzin,Opel,Astra,2009,Hetçbek,Qara,160000
1.5,65,Benzin,LADA (VAZ),2106,1986,Sedan,Ağ,111445
1.5,65,Benzin,LADA (VAZ),2109,2000,Hetçbek,Bənövşəyi,43000
3.5,272,Benzin,Mercedes,CLS 350,2005,Sedan,Qara,224000
1.4,90,Dizel,Toyota,Corolla,2007,Hetçbek,Qızılı,159000
2.4,166,Benzin,Toyota,RAV4,2006,Offroader / SUV,Ağ,235000
2.0,143,Benzin,Hyundai,Elantra,2008,Sedan,Qara,262000
1.5,65,Benzin,LADA (VAZ),2106,1998,Sedan,Tünd qırmızı,46424
3.0,275,Dizel,Land Rover,Range Rover,2018,Offroader / SUV,Qara,134000
1.7,80,Benzin,LADA (VAZ),Niva,2018,Offroader / SUV,Qara,36000
3.5,415,Benzin,Toyota,Land Cruiser,2022,Offroader / SUV,Qara,0
2.5,143,Dizel,BMW,525,1999,Sedan,Qara,606200
1.5,189,Benzin,Changan,Raeton,2022,Sedan,Qara,0
0.8,38,Benzin,Daewoo,Damas,2007,Furqon,Ağ,150000
2.5,181,Benzin,Toyota,Camry,2016,Sedan,Qara,318000
2.2,143,Dizel,Mercedes,E 220,2000,Universal,Göy,480866
1.4,100,Benzin,Chevrolet,Aveo,2011,Sedan,Ağ,220000
4.3,177,Dizel,Mercedes,Atego 818,2007,Yük maşını,Ağ,831800
2.0,249,Benzin,Volvo,S90,2017,Sedan,Boz,73000
2.0,126,Dizel,Toyota,Avensis,2008,Universal,Qara,156225
1.5,110,Benzin,Daewoo,Lanos,1997,Sedan,Ağ,750000
2.0,190,Dizel,BMW,320,2017,Sedan,Ağ,102870
2.2,170,Dizel,Mercedes,E 220,2013,Sedan,Gümüşü,220000
1.5,76,Hibrid,Toyota,Prius,2007,Liftbek,Gümüşü,172000
2.0,192,Benzin,Mini,Cooper,2018,Hetçbek,Qara,49400
1.5,109,Benzin,Nissan,Note,2011,Sedan,Ağ,99500
1.6,227,Hibrid,Kia,Sportage,2023,Offroader / SUV,Qara,0
1.7,113,Qaz,Khazar,LX,2020,Sedan,Ağ,185000
3.5,306,Benzin,Mercedes,ML 350,2011,Offroader / SUV,Ağ,161500
5.0,510,Benzin,Land Rover,RR Sport,2014,Offroader / SUV,Qara,145000
1.5,110,Benzin,Toyota,Corolla,2014,Universal,Ağ,125000
1.3,65,Benzin,LADA (VAZ),2106,1985,Sedan,Mavi,19000
2.5,181,Benzin,Toyota,Camry,2019,Sedan,Ağ,44200
